Poca sombra y suelo húmedo
Luz directa y suelo húmedo
Suelo bien drenado y suelo húmedo
Resistente y tolera sequía
Poca agua y suelo seco
Poco riego y suelo seco
Suelo fértil y buena luz
Suelo bien drenado y sol directo
Suelo húmedo y tolera encharcamiento
Mucha luz y suelo húmedo
Suelo húmedo y tolera inundación
Luz filtrada y suelo fértil
Suelo húmedo y luz indirecta
Suelo seco y resistente
Suelo arcilloso y sol directo
Suelo fértil y luz moderada
Suelo árido y pleno sol
Poco riego y suelo seco
Suelo húmedo y sombra parcial
Suelo seco y resistente
Suelo bien drenado y pleno sol
Suelo arenoso y tolera sequía
Suelo fértil y luz filtrada
Suelo húmedo y luz directa
Suelo bien drenado y sol parcial
Poco riego y  suelo seco
Suelo húmedo y luz indirecta
Suelo seco y resistente
Suelo fértil y sombra parcial
Suelo húmedo y luz filtrada
Suelo fértil y sol directo
Suelo bien drenado y luz directa
Suelo arenoso y resistente
Suelo salino y sol directo
Suelo fértil y luz filtrada
Suelo húmedo y luz indirecta
Suelo seco y resistente
Suelo fértil y luz directa
Suelo arenoso y tolera sequía
Suelo fértil y sombra parcial
Suelo húmedo y luz indirecta
Suelo bien drenado y sol directo
Suelo húmedo y sombra parcial
Suelo arenoso y pleno sol
Suelo fértil y sombra parcial
Suelo seco y tolera sequía
Suelo húmedo y luz filtrada
Suelo fértil y luz indirecta
Suelo húmedo y sombra parcial
Suelo fértil y sol directo
Suelo seco y pleno sol
Suelo bien drenado y luz directa
Suelo húmedo y sombra parcial
Suelo fértil y sombra parcial
Suelo bien drenado y luz directa
Suelo seco y pleno sol
Suelo húmedo y sol directo
Suelo arenoso y sol directo
Suelo fértil y luz filtrada
Suelo bien drenado y sol directo
Suelo fértil y sombra parcial
Suelo húmedo y sol parcial
Suelo arenoso y pleno sol
Suelo bien drenado y pleno sol
Suelo seco y pleno sol
Suelo arenoso y pleno sol
Suelo bien drenado y luz filtrada
Suelo fértil y luz directa
Suelo húmedo y pleno sol
Suelo seco y pleno sol
Suelo bien drenado y luz filtrada
Suelo arenoso y pleno sol
Suelo húmedo y sombra parcial
Suelo fértil y luz directa
Suelo seco y pleno sol
Suelo húmedo y sombra parcial
Suelo seco y sol parcial
Suelo arenoso y luz indirecta
Suelo seco y pleno sol
Suelo bien drenado y luz indirecta
Suelo arenoso y pleno sol
Suelo húmedo y luz indirecta
Suelo seco y pleno sol
Sueloarenoso y luz indirecta
Suelo bien drenado y luz indirecta
Suelo fértil y pleno sol
Suelo seco y pleno sol
Suelo bien drenado y pleno sol
Suelo arenoso y pleno sol
Suelo bien drenado y luz indirecta
Suelo arenoso y pleno sol
Suelo seco y luz filtrada
Suelo fértil y pleno sol
Suelo bien drenado y pleno sol
Suelo seco y luz filtrada
Suelo arenoso y pleno sol
Sueloarenoso y luz indirecta
Suelo fértil y pleno sol
Suelo bien drenado y luz filtrada
Sueloarenoso y sombra parcial
Suelo bien drenado y pleno sol
Suelo húmedo y luz indirecta
Sueloarenoso y luz indirecta
Suelo bien drenado y pleno sol
Suelo arenoso y pleno sol
Suelo seco y pleno sol
Suelo bien drenado y pleno sol
Suelo seco y pleno sol
Suelo húmedo y sombra parcial
Suelo arenoso y pleno sol
Suelo bien drenado y pleno sol
Sueloarenoso y luz filtrada
Suelo seco y pleno sol
Suelo bien drenado y luz filtrada
Suelo seco y pleno sol
Sueloarenoso y luz indirecta
Suelo bien drenado y pleno sol
Suelo arenoso y pleno sol
Suelo seco y pleno sol
Suelo bien drenado y luz indirecta
Suelo arenoso y pleno sol
Suelo seco y pleno sol
Suelo arenoso y pleno sol
Suelo bien drenado y pleno sol
Suelo seco y pleno sol
